date,temperature,humidity,rainfall
2018-07-30,25.57,83.95,0.2
2018-07-31,27.02,78.76,0.0
2018-08-01,27.72,75.75,0.0
2018-08-02,27.04,77.69,0.0
2018-08-03,27.52,70.65,0.0
2018-08-04,28.1,61.13,0.0
2018-08-05,27.35,61.17,0.0
2018-08-06,27.56,61.05,0.0
2018-08-07,26.93,71.81,0.0
2018-08-08,28.17,70.6,0.0
2018-08-09,28.64,64.96,0.0
2018-08-10,28.32,59.99,0.0
2018-08-11,27.9,63.46,0.0
2018-08-12,26.7,72.08,0.0
2018-08-13,26.67,78.67,0.0
2018-08-14,26.81,85.78,0.0
2018-08-15,27.06,71.77,0.0
2018-08-16,23.1,86.85,6.2
2018-08-17,25.49,76.23,0.0
2018-08-18,26.23,75.34,0.0
2018-08-19,27.75,55.8,0.0
2018-08-20,26.52,64.83,3.2
2018-08-21,26.14,66.11,0.0
2018-08-22,26.09,60.75,0.0
2018-08-23,25.66,63.41,0.0
2018-08-24,26.2,64.81,0.0
2018-08-25,25.08,81.22,11.2
2018-08-26,24.67,86.55,0.0
2018-08-27,22.35,91.31,8.0
2018-08-28,24.27,80.44,0.2
2018-08-29,26.71,72.45,0.0
2018-08-30,26.88,67.31,0.0
2018-08-31,26.73,71.72,0.0
2018-09-01,26.76,72.19,0.0
2018-09-02,26.98,69.72,0.0
2018-09-03,25.76,79.92,0.0
2018-09-04,24.48,77.69,0.0
2018-09-05,24.16,73.22,0.0
2018-09-06,23.41,80.16,0.0
2018-09-07,24.04,84.03,0.0
2018-09-08,23.05,89.82,12.0
2018-09-09,23.59,81.6,0.0
2018-09-10,24.49,75.92,0.0
2018-09-11,23.91,77.63,0.0
2018-09-12,23.96,60.94,0.0
2018-09-13,23.84,64.63,0.0
2018-09-14,23.35,73.47,0.0
2018-09-15,23.33,78.89,0.0
2018-09-16,23.96,79.02,0.0
2018-09-17,25.14,65.62,0.0
2018-09-18,24.77,66.62,0.0
2018-09-19,24.4,68.22,0.0
2018-09-20,23.15,74.67,0.0
2018-09-21,22.76,70.18,0.0
2018-09-22,21.85,77.1,0.0
2018-09-23,22.74,83.55,0.0
2018-09-24,22.92,86.14,0.0
2018-09-25,23.38,61.85,0.0
2018-09-26,18.12,42.28,0.0
2018-09-27,18.44,38.99,0.0
2018-09-28,20.03,49.94,0.0
2018-09-29,21.34,61.27,0.0
2018-09-30,18.37,83.86,2.6
2018-10-01,18.3,88.63,1.4
2018-10-02,19.41,83.28,0.0
2018-10-03,19.28,91.06,4.2
2018-10-04,22.97,74.44,0.0
2018-10-05,23.0,70.55,0.0
2018-10-06,20.7,75.37,0.0
2018-10-07,19.16,86.91,0.0
2018-10-08,19.61,82.65,0.0
2018-10-09,20.15,76.24,0.0
2018-10-10,19.04,69.01,0.0
2018-10-11,17.91,68.78,0.0
2018-10-12,18.94,67.52,0.0
2018-10-13,18.35,70.06,0.0
2018-10-14,18.41,65.11,0.0
2018-10-15,17.93,73.58,0.0
2018-10-16,18.2,74.34,0.0
2018-10-17,18.6,78.75,0.0
2018-10-18,18.24,77.3,0.0
2018-10-19,19.0,77.96,0.0
2018-10-20,18.87,83.69,0.0
2018-10-21,18.9,81.66,0.0
2018-10-22,16.81,87.04,11.2
2018-10-23,17.47,83.12,0.2
2018-10-24,17.01,80.92,0.0
2018-10-25,15.07,60.55,0.0
2018-10-26,15.21,69.67,0.0
2018-10-27,19.76,85.24,0.0
2018-10-28,19.41,83.75,0.0
2018-10-29,18.96,82.47,0.0
2018-10-30,19.13,88.24,0.4
2018-10-31,21.23,88.56,0.0
2018-11-01,20.98,81.42,0.0
2018-11-02,19.41,84.22,0.0
2018-11-03,18.13,76.99,0.0
2018-11-04,16.25,77.49,0.0
2018-11-05,15.26,74.33,0.0
2018-11-06,14.89,79.6,0.0
2018-11-07,15.66,79.16,9.4
2018-11-08,14.27,95.6,1.6
2018-11-09,13.67,83.97,0.0
2018-11-10,13.57,80.88,0.0
2018-11-11,13.86,76.92,0.0
2018-11-12,13.05,77.97,0.0
2018-11-13,12.24,78.69,0.0
