date,temperature,humidity,rainfall
2021-06-26,29.86,61.28,0.0
2021-06-27,28.46,62.32,0.0
2021-06-28,27.7,66.06,0.0
2021-06-29,27.77,66.01,0.0
2021-06-30,28.31,64.28,0.0
2021-07-01,28.22,69.68,0.0
2021-07-02,27.8,63.49,0.0
2021-07-03,26.85,57.53,0.0
2021-07-04,25.9,67.89,0.0
2021-07-05,26.55,72.32,0.0
2021-07-06,29.03,68.96,0.0
2021-07-07,29.35,66.17,0.0
2021-07-08,29.7,67.97,0.0
2021-07-09,29.84,70.33,0.0
2021-07-10,29.53,65.59,0.0
2021-07-11,29.96,54.58,0.0
2021-07-12,28.57,64.77,0.0
2021-07-13,29.18,66.51,0.0
2021-07-14,28.77,67.49,0.0
2021-07-15,28.62,70.95,0.0
2021-07-16,28.58,70.17,0.0
2021-07-17,26.95,68.66,0.0
2021-07-18,25.63,74.02,0.0
2021-07-19,26.41,70.54,0.0
2021-07-20,26.81,73.26,0.0
2021-07-21,28.36,72.6,0.0
2021-07-22,29.07,65.09,0.0
2021-07-23,28.5,60.4,0.0
2021-07-24,26.66,71.26,0.0
2021-07-25,27.58,64.84,0.0
2021-07-26,28.14,62.52,0.0
2021-07-27,28.93,65.82,0.0
2021-07-28,31.47,58.49,0.0
2021-07-29,30.82,57.58,0.0
2021-07-30,29.7,66.36,0.0
2021-07-31,28.88,68.24,0.0
2021-08-01,29.74,68.11,0.0
2021-08-02,30.38,67.79,0.0
2021-08-03,31.16,60.09,0.0
2021-08-04,30.91,53.72,0.0
2021-08-05,29.67,55.03,0.0
2021-08-06,28.3,66.07,0.0
2021-08-07,27.73,58.26,0.0
2021-08-08,28.34,61.19,0.0
2021-08-09,27.76,77.2,0.0
2021-08-10,28.91,80.19,0.0
2021-08-11,28.85,80.56,0.0
2021-08-12,31.33,56.24,0.0
2021-08-13,29.46,57.03,0.0
2021-08-14,30.01,55.97,0.0
2021-08-15,29.46,63.56,0.0
2021-08-16,29.28,67.4,0.0
2021-08-17,28.26,74.27,0.0
2021-08-18,28.44,67.16,0.0
2021-08-19,29.05,67.49,0.0
2021-08-20,29.22,62.92,0.0
2021-08-21,27.61,63.14,0.0
2021-08-22,28.42,60.4,0.0
2021-08-23,28.55,61.24,0.0
